group,distribution,library,p50_ns,p90_ns,p95_ns,p99_ns,p99.9_ns,mean_ns,std_dev_ns,ci_lower_ns,ci_upper_ns,iqr_ns,cv,min_ns,max_ns
stream_decode,large_above_4G,varu64,16034.5,16751.0,17943.3,23207.0,25362.7,16299.0,1257.6,16140.2,16485.7,456.0,0.0772,14915.2,25764.0
stream_decode,large_above_4G,vu64,10515.8,10709.7,10803.2,10961.5,11432.8,10489.2,208.7,10460.7,10518.2,155.2,0.0199,9998.7,11539.9
stream_decode,boundary,bijou64,3469.0,3519.1,3541.1,3608.9,4654.4,3453.0,133.1,3436.3,3473.1,85.3,0.0386,3125.7,4862.7
stream_decode,boundary,leb128,9245.0,9718.9,9993.9,11096.0,13479.8,9352.9,506.5,9288.8,9427.9,319.4,0.0542,8755.5,13878.3
stream_decode,boundary,varu64,12222.2,12548.3,13015.1,13290.0,15085.5,12222.6,445.3,12162.9,12286.5,246.4,0.0364,11109.6,15292.4
stream_decode,boundary,vu64,11715.5,11902.9,11960.8,12223.7,12300.6,11715.9,159.4,11694.1,11738.2,181.5,0.0136,11193.8,12306.3
stream_decode,uniform_random,bijou64,2927.2,3101.1,3213.8,3294.9,3630.7,2891.0,193.9,2864.3,2917.9,298.4,0.0671,2562.8,3684.2
stream_decode,uniform_random,leb128,30213.5,31612.4,33131.6,45223.2,48370.4,30606.5,2530.2,30288.8,30982.1,1468.4,0.0827,27882.0,48378.9
stream_decode,uniform_random,varu64,15800.8,16795.4,17845.8,22203.3,28588.6,16157.5,1405.5,15985.7,16372.5,452.5,0.0870,15366.7,29599.1
stream_decode,uniform_random,vu64,10343.8,10522.8,10593.7,10757.0,10796.7,10367.2,129.7,10349.5,10385.2,135.4,0.0125,9945.8,10800.3
