group,distribution,library,p50_ns,p90_ns,p95_ns,p99_ns,p99.9_ns,mean_ns,std_dev_ns,ci_lower_ns,ci_upper_ns,iqr_ns,cv,min_ns,max_ns
stream_decode,large_above_4G,varu64,24352.7,24669.7,24804.4,25259.3,26282.5,24349.6,338.5,24304.0,24397.4,348.5,0.0139,23567.8,26462.1
stream_decode,large_above_4G,vu64,8762.6,8857.6,8887.0,8982.9,9116.3,8766.2,82.9,8754.7,8777.7,88.7,0.0095,8443.7,9148.3
stream_decode,boundary,bijou64,6264.4,6375.4,6448.6,6529.2,6820.2,6273.8,103.0,6259.9,6288.4,107.0,0.0164,6030.5,6852.1
stream_decode,boundary,leb128,14335.7,14518.7,14645.0,15144.2,15387.7,14349.6,201.4,14322.5,14378.6,186.0,0.0140,13912.3,15396.5
stream_decode,boundary,varu64,22111.1,22359.9,22449.1,22636.0,22770.3,22063.7,317.6,22018.7,22106.3,269.1,0.0144,20662.6,22771.3
stream_decode,boundary,vu64,14125.6,14277.5,14335.5,14503.7,14901.7,14139.7,132.1,14121.9,14158.4,133.2,0.0093,13857.1,14987.6
stream_decode,uniform_random,bijou64,5578.4,5622.6,5649.6,5723.2,5740.2,5575.2,49.4,5568.3,5582.0,40.7,0.0089,5339.3,5743.1
stream_decode,uniform_random,leb128,34470.7,35125.3,35256.9,35514.3,35928.8,34461.7,501.0,34391.9,34530.4,560.6,0.0145,32447.7,35968.1
stream_decode,uniform_random,varu64,23850.9,25048.9,25288.8,25678.7,26536.8,24083.1,603.9,24001.8,24168.8,541.2,0.0251,23129.8,26633.2
stream_decode,uniform_random,vu64,10700.9,11213.3,11298.7,11370.8,11599.6,10391.8,865.3,10271.5,10509.2,1337.7,0.0833,8560.9,11645.8
