group,distribution,library,p50_ns,p90_ns,p95_ns,p99_ns,p99.9_ns,mean_ns,std_dev_ns,ci_lower_ns,ci_upper_ns,iqr_ns,cv,min_ns,max_ns
canonical_decode,tiny_0_239,bijou128,6131.9,6362.9,6401.9,6623.1,6926.5,6172.1,137.2,6153.9,6191.8,147.6,0.0222,6022.5,6975.8
canonical_decode,tiny_0_239,vu128,15555.1,17405.9,18537.0,27971.5,35440.2,16250.9,2370.8,15956.9,16607.2,935.4,0.1459,14854.1,37201.5
canonical_decode,small_240_65535,bijou128,10407.6,10701.2,11311.6,12575.0,17746.0,10556.2,712.9,10473.2,10666.8,189.9,0.0675,10236.1,18572.4
canonical_decode,small_240_65535,vu128,18992.0,20150.8,22030.1,27851.4,32400.0,19437.2,1828.3,19206.2,19708.0,335.8,0.0941,18261.7,33463.7
canonical_decode,medium_64k_4G,bijou128,10223.6,10510.9,10653.8,10990.6,11263.5,10289.1,186.9,10264.6,10316.2,148.2,0.0182,10122.9,11320.9
canonical_decode,medium_64k_4G,vu128,21957.9,22603.5,23116.9,25341.4,31690.2,22182.2,998.0,22062.8,22338.0,406.3,0.0450,21535.4,33195.0
canonical_decode,large_4G_to_u64max,bijou128,10381.5,10764.5,11368.6,22468.4,22513.2,10755.2,1824.4,10528.3,11031.6,217.1,0.1696,10179.4,22516.9
canonical_decode,large_4G_to_u64max,vu128,19873.6,21185.9,21479.8,24357.5,26095.8,20167.0,869.7,20055.3,20295.4,652.9,0.0431,19479.2,26475.6
canonical_decode,xlarge_above_u64,bijou128,8536.5,8816.6,9079.2,12741.9,17488.8,8735.5,927.9,8625.4,8877.7,154.5,0.1062,8433.8,18441.4
canonical_decode,xlarge_above_u64,vu128,19802.4,20441.8,21080.8,23279.4,25683.9,19979.9,723.9,19889.0,20088.7,370.4,0.0362,19440.5,26169.0
canonical_decode,boundary,bijou128,8802.9,8974.5,9096.2,9403.2,9453.6,8841.7,138.2,8823.3,8861.5,123.4,0.0156,8672.4,9465.7
canonical_decode,boundary,vu128,16718.9,17251.5,17448.0,17909.7,18377.3,16717.7,443.9,16657.2,16779.4,608.8,0.0266,15874.0,18492.0
canonical_decode,uniform_random,bijou128,7689.3,7908.8,8421.4,9705.4,12323.8,7809.3,497.4,7748.9,7886.2,107.1,0.0637,7503.6,12861.9
canonical_decode,uniform_random,vu128,17472.1,18019.6,18183.4,20315.0,22055.9,17525.3,647.6,17441.3,17620.2,613.8,0.0370,16509.5,22093.8
decode,tiny_0_239,bijou128,5135.0,5620.2,6152.1,6294.5,6411.2,5252.4,309.7,5211.2,5296.9,175.1,0.0590,5007.3,6431.1
decode,tiny_0_239,vu128,7477.5,7958.3,8219.9,10046.5,10541.4,7599.7,433.1,7544.0,7663.6,263.1,0.0570,7242.1,10627.4
decode,small_240_65535,bijou128,9472.5,10510.4,10658.9,10953.2,11344.8,9673.6,474.4,9610.3,9740.9,308.2,0.0490,9254.9,11425.0
decode,small_240_65535,vu128,12077.9,12432.8,12833.7,13189.5,17898.3,12167.3,560.6,12103.8,12256.5,240.0,0.0461,11676.5,18888.5
decode,medium_64k_4G,bijou128,10353.4,10799.8,10969.7,12899.0,16912.7,10503.6,653.5,10426.1,10605.5,296.5,0.0622,10137.3,17565.7
decode,medium_64k_4G,vu128,15268.2,15834.1,16512.0,20612.3,30735.3,15575.4,1608.4,15387.1,15826.6,346.6,0.1033,14939.7,31094.2
decode,large_4G_to_u64max,bijou128,10405.3,11738.6,12613.1,17249.8,19358.7,10682.9,1433.4,10495.8,10892.7,320.7,0.1342,9199.7,19580.5
decode,large_4G_to_u64max,vu128,12639.0,13008.1,13192.7,13684.6,14644.5,12704.7,300.1,12665.2,12748.1,260.0,0.0236,12369.9,14751.2
